document_name,document_date,token_id,form_trans,form_utf,pos_tag,morphology,lemma,lemma_simple,lemma_wsd
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17492,scut,scut,VVFIN,St-Sw.3.Sg.Pres.Ind,schên,schen,schên
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17501,beteren,beteren,VVINF,--,bēteren,beteren,bēteren²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17507,scut,scut,VVFIN,St-Sw.3.Sg.Pres.Ind,schên,schen,schên
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17515,betere{R_n},beteren,VVINF,--,bēteren,beteren,bēteren²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17530,sweren,sweren,VVINF,--,swēren,sweren,swēren¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17536,horde,horde,VVFIN,Sw.3.Sg.Past.*,hö̂ren,horen,hö̂ren²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17542,wedden,wedden,VVINF,--,wedden,wedden,wedden
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17545,*ON_beghint*,beghint,VVFIN,St.3.Sg.Pres.Ind,beginnen,beginnen,beginnen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17555,horen,horen,VVINF,--,hö̂ren,horen,hö̂ren²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17569,vraghen,vraghen,VVINF,--,vrâgen,vragen,vrâgen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17579,scaden,scaden,VVINF,--,schāden,schaden,schāden
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17582,hel#pen,helpen,VVINF,--,helpen,helpen,helpen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17595,vraghen,vraghen,VVINF,--,vrâgen,vragen,vrâgen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17600,si,si,VVFIN,Irr.3.Sg.Pres.Konj,wēsen,wesen,wēsen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17604,sproke{R_n},sproken,VVPP,--,sprēken,spreken,sprēken
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17614,hebben,hebben,VVINF,--,hebben,hebben,hebben
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17619,guyt,guyt,VVFIN,St-Sw.3.Sg.Pres.Ind,jên,jen,jên¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17625,gheyn,gheyn,VVINF,--,jên,jen,jên¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17634,ghe#it,gheit,VVFIN,Irr.3.Sg.Pres.Ind,gân,gan,gân
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17656,geyt,geyt,VVFIN,Irr.3.Sg.Pres.Ind,gân,gan,gân
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17666,be#grepen,begrepen,VVPP,--,begrîpen,begripen,begrîpen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17671,be#teren,beteren,VVINF,--,bēteren,beteren,bēteren²
