Lang_Script,PER,Sample_Size
pan_Gurmukhi,0.28679245283018867,58
pbv_Latin,0.21875,10
pcc_Latin,0.3064516129032258,14
pdc_Latin,0.09210526315789473,16
phl_Latin,0.030821917808219176,100
pms_Latin,0.04380952380952381,84
pol_Latin,0.0,100
por_Latin,0.007653061224489796,100
pox_Latin,0.052980132450331126,30
ppl_Latin,0.043010752688172046,18
pqm_Latin,0.032520325203252036,15
pus_Arabic,0.1724137931034483,96
rgn_Latin,0.0967741935483871,26
rom_Latin,0.38461538461538464,12
ron_Latin,0.01092896174863388,100
sah_Cyrillic,0.22131147540983606,21
san_Devanagari,0.06802721088435375,100
sce_Latin,0.0196078431372549,12
scn_Latin,0.1529790660225443,100
sco_Latin,0.2359882005899705,78
sdc_Latin,0.10526315789473684,30
sga_Latin,0.1103202846975089,100
shn_Myanmar,0.01834862385321101,100
sia_Cyrillic,0.15789473684210525,17
sid_Latin,0.05405405405405406,29
sin_Sinhala,0.15625,28
sjd_Cyrillic,0.3081761006289308,32
skr_Arabic,0.3125,19
slk_Latin,0.04665629860031104,100
slr_Latin,0.7142857142857143,7
slv_Latin,0.11390532544378698,100
sme_Latin,0.04419889502762431,100
sms_Latin,0.44,10
snd_Arabic,0.75,6
spa_Latin,0.0,100
sqi_Latin,0.0929853181076672,100
srd_Latin,0.04176904176904177,67
srn_Latin,0.0547945205479452,17
srs_Latin,0.07526881720430108,13
stq_Latin,0.027989821882951654,80
swa_Latin,0.15555555555555556,10
swe_Latin,0.14873417721518986,100
syl_Syloti Nagri,0.19298245614035087,28
szl_Latin,0.006389776357827476,100
tam_Tamil,0.015151515151515152,100
tel_Telugu,0.016129032258064516,100
tft_Latin,0.019230769230769232,22
tgk_Cyrillic,0.041758241758241756,70
tgl_Latin,0.01037037037037037,100
tha_Thai,0.1125370187561698,100
ton_Latin,0.0,16
tpw_Latin,0.09090909090909091,34
tru_Syriac,0.7142857142857143,13
tuk_Latin,0.3333333333333333,12
tur_Latin,0.11925287356321838,100
twf_Latin,0.14285714285714285,13
tyv_Cyrillic,0.228310502283105,48
tzm_Tifinagh,0.016835016835016835,66
uig_Arabic,0.010362694300518135,100
urd_Arabic,0.12195121951219512,100
urk_Thai,0.01171875,56
uzb_Latin,0.2152777777777778,28
vol_Latin,0.026737967914438502,38
vot_Latin,0.04150943396226415,100
wau_Latin,0.11570247933884298,15
wbk_Latin,0.15517241379310345,11
wiy_Latin,0.07058823529411765,15
wlm_Latin,0.2,13
wln_Latin,0.07832422586520947,100
xal_Cyrillic,0.09219858156028368,30
ybi_Devanagari,0.07042253521126761,13
yid_Hebrew,0.12520593080724876,100
yor_Latin,0.3109090909090909,100
yue_Han,0.0933852140077821,100
yue_Latin,0.4793650793650794,39
zha_Latin,0.05221518987341772,100
zho_Han,0.1755994358251058,100
zho_Latin,0.6238532110091743,10
zom_Latin,0.42105263157894735,11
zul_Latin,0.2308868501529052,100
